objectid,filename,title,creator,date,dimensions,materials,language,subject,descriptions,file_size,format,rights_holder
dnd01,dungeonsanddragons_charactercreationtemplate,Character Creation Template,"Goodman, J. Andrew",2022-11-28,n/a,n/a,English,Character Creation ,A player's tool and guide for developing their character. ,45 KB,image/pdf,"Goodman, J. Andrew"
dnd15,westrock_sewers,The Sewers,"Goodman, J. Andrew",2024-02-18,"8.5"" x 11""",Ink and graphite,English,Adventure Map ,A map of the sewers under West Rock. ,3 MB,image/jpeg,"Goodman, J. Andrew"
